"","newsize","body_height"
"Leiocephalus_raviceps",2.358317,0.05768818
"Leiocephalus_carinatus",2.931721,0.3021622007
"Leiocephalus_psammodromus",2.700397,0.1966708307
"Leiocephalus_personatus",2.535315,0.322169832
"Leiocephalus_barahonensis",2.473666,0.3026691747
"Stenocercus_ochoai",2.54901,0.2906764393
"Stenocercus_limitaris",2.684397,0.0935631694
"Stenocercus_ornatus",2.584305,0.1099158949
"Stenocercus_guentheri",2.527914,0.2431799985
"Stenocercus_humeralis",2.700048,0.0749880765
"Stenocercus_crassicaudatus",2.606357,-0.0036308696
"Stenocercus_imitator",2.684784,-0.1029309859
"Stenocercus_boettgeri",2.708411,0.0300537294
"Stenocercus_cupreus",2.379246,0.0600757963
"Stenocercus_chrysopygus",2.361089,0.2187344458
"Stenocercus_stigmosus",2.271846,0.0692717833
"Stenocercus_latebrosus",2.408454,0.0534525383
"Microlophus_thoracicus",2.291692,0.0260890311
"Microlophus_theresiae",2.243498,-0.0784757672
"Microlophus_tigris",2.445414,0.017783252
"Microlophus_peruvianus",2.858258,0.0215515089
"Microlophus_atacamensis",2.81497,-0.1005334862
"Microlophus_theresioides",2.884448,0.0148147519
"Microlophus_occipitalis",2.507416,0.1524038845
"Microlophus_bivittatus",2.605852,0.0863959009
"Microlophus_habelii",2.774026,0.0037688071
"Microlophus_stolzmanni",2.857552,0.2507800483
"Microlophus_delanonis",3.058511,0.2904313521
"Microlophus_grayii",2.658088,-0.0611244579
"Microlophus_pacificus",2.614658,0.0991054683
"Microlophus_albemarlensis",2.761609,0.1751464915
"Microlophus_duncanensis",2.585485,0.1052051277
"Uranoscodon_superciliosus",3.125253,0.2569242278
"Uracentron_flaviceps",2.997446,0.203183388
"Plica_umbra",2.746562,-0.0457559289
"Plica_plica",3.228756,-0.1362827246
"Tropidurus_hygomi",2.509003,0.1207578165
"Tropidurus_montanus",2.787875,0.0391375402
"Tropidurus_itambere",2.67126,0.0252382577
"Tropidurus_erythrocephalus",2.54627,0.0007955283
"Tropidurus_etheridgei",2.674245,0.075718184
"Tropidurus_insulanus",2.509731,0.0031472451
"Tropidurus_oreadicus",2.810768,0.0050234631
"Tropidurus_torquatus",3.045273,0.020239584
"Tropidurus_hispidus",2.911982,-0.0147290892
"Phymaturus_patagonicus",2.50845,-0.0179998362
"Phymaturus_palluma",2.705381,-0.1094360699
"Phymaturus_punae",2.708343,-0.024162295
"Liolaemus_tenuis",2.128069,0.193049137
"Liolaemus_lemniscatus",1.920725,0.1186387098
"Liolaemus_nitidus",2.563801,0.2412039904
"Liolaemus_monticola",2.459331,-0.0492856277
"Liolaemus_fuscus",1.920175,0.1968567901
"Liolaemus_nigroviridis",2.459303,0.1285075263
"Liolaemus_nigromaculatus",2.356936,0.2300059512
"Liolaemus_leopardinus",2.076572,0.1769796913
"Liolaemus_elongatus",2.346007,0.0181964167
"Liolaemus_petrophilus",2.483838,0.0374530817
"Liolaemus_gravenhorstii",2.089298,0.1188943656
"Liolaemus_schroederi",2.162475,0.206416578
"Liolaemus_chiliensis",2.553297,0.2454798007
"Liolaemus_cyanogaster",2.269242,0.0328975082
"Liolaemus_pictus",2.271039,0.1632403946
"Liolaemus_bibronii",2.008658,0.1608839185
"Liolaemus_lineomaculatus",2.062378,0.1368950845
"Liolaemus_magellanicus",2.083851,0.2955618104
"Liolaemus_kingii",2.54348,0.2303081342
"Liolaemus_archeforus",2.396741,0.038612485
"Liolaemus_ruibali",2.081639,0.1776369871
"Liolaemus_occipitalis",2.194242,0.0838454599
"Liolaemus_lutzae",2.21839,0.1487202465
"Liolaemus_multimaculatus",2.254617,0.1729283148
"Liolaemus_fitzingerii",2.62579,0.168228099
"Liolaemus_chacoensis",1.93134,-0.0365945121
"Liolaemus_darwinii",2.120027,0.0026671639
"Liolaemus_ornatus",2.268419,0.0824305347
